Username                       | Relationship
------------------------------------------
19royy                         | ✔ (Mutual)
22rohit                        | ✔ (Mutual)
3boysbliss                     | ✔ (Mutual)
3thanjames                     | ✘ (One-sided)
444nushka                      | ✔ (Mutual)
820s.quynh                     | ✘ (One-sided)
_.nicole.wong._                | ✔ (Mutual)
__brittney____                 | ✔ (Mutual)
__stefanieg                    | ✘ (One-sided)
__tommy______________________  | ✔ (Mutual)
_aaron_tan_                    | ✔ (Mutual)
_acewoo_                       | ✔ (Mutual)
_akhilnune_                    | ✘ (One-sided)
_anamba_                       | ✘ (One-sided)
_andrewlau_                    | ✔ (Mutual)
_anthony_horta                 | ✔ (Mutual)
_ashleyyoon                    | ✔ (Mutual)
_bowlshit                      | ✔ (Mutual)
_caitlin_nguyen                | ✔ (Mutual)
_celinewang                    | ✔ (Mutual)
_chri.sti.na                   | ✘ (One-sided)
_coach_ant                     | ✘ (One-sided)
_crystalmlee                   | ✔ (Mutual)
_dannyluo_                     | ✔ (Mutual)
_daysi_nicole                  | ✘ (One-sided)
_elizabethyiu_                 | ✔ (Mutual)
_eshan_                        | ✘ (One-sided)
_georgepham_                   | ✔ (Mutual)
_gillian_                      | ✔ (Mutual)
_isaacmena_                    | ✔ (Mutual)
_janetplanettt                 | ✔ (Mutual)
_jaydenluong                   | ✘ (One-sided)
_johnle_                       | ✔ (Mutual)
_jordan32                      | ✔ (Mutual)
_justin.lin_                   | ✔ (Mutual)
_katiehui                      | ✘ (One-sided)
_kaxxi                         | ✔ (Mutual)
_kayla_schaefer                | ✔ (Mutual)
_kellyeileen_                  | ✔ (Mutual)
_klyce_                        | ✔ (Mutual)
_lychiko                       | ✔ (Mutual)
_martin.ag_                    | ✔ (Mutual)
_marytaylor_                   | ✔ (Mutual)
_mendizy_                      | ✘ (One-sided)
_mjchelle                      | ✔ (Mutual)
_mmv23                         | ✔ (Mutual)
_nikkilz                       | ✘ (One-sided)
_petertran_                    | ✔ (Mutual)
_rileysloan_                   | ✔ (Mutual)
_roma_bhatia_                  | ✔ (Mutual)
_ryanlee_                      | ✔ (Mutual)
_sam_wu                        | ✘ (One-sided)
_samahah                       | ✔ (Mutual)
_samanthadrake                 | ✔ (Mutual)
_sebastian.h                   | ✘ (One-sided)
_shaan_g                       | ✘ (One-sided)
_sierragross                   | ✔ (Mutual)
_ssammmm_                      | ✔ (Mutual)
_taylortran                    | ✔ (Mutual)
_tiffyau_                      | ✔ (Mutual)
_vivianto_                     | ✘ (One-sided)
_wassapna                      | ✔ (Mutual)
_williamcui                    | ✔ (Mutual)
a.chuuuu                       | ✘ (One-sided)
a.dreion                       | ✔ (Mutual)
a.ja.in                        | ✔ (Mutual)
a.netkim                       | ✔ (Mutual)
a1ee_                          | ✘ (One-sided)
aangelahx3                     | ✔ (Mutual)
aangels.worldd                 | ✘ (One-sided)
aarush_ig                      | ✘ (One-sided)
aayronkimster                  | ✔ (Mutual)
abbieenriquez                  | ✘ (One-sided)
abbyymontgomery                | ✘ (One-sided)
abigaillang                    | ✔ (Mutual)
abigailmccarthy                | ✘ (One-sided)
about.instagram.com            | ✔ (Mutual)
achintya2000                   | ✔ (Mutual)
actuallyjohno                  | ✘ (One-sided)
adamporter7300                 | ✔ (Mutual)
adamsyed99                     | ✘ (One-sided)
aditiityagii                   | ✘ (One-sided)
adrianissacg                   | ✔ (Mutual)
adriennetn                     | ✘ (One-sided)
aduong17                       | ✔ (Mutual)
aeok.02                        | ✔ (Mutual)
afogata                        | ✘ (One-sided)
aimeekim99                     | ✘ (One-sided)
ajay.png                       | ✔ (Mutual)
ajay_e.d                       | ✔ (Mutual)
akakellyfornia                 | ✔ (Mutual)
akanksha.bathini               | ✘ (One-sided)
akemi_namba                    | ✔ (Mutual)
akpsiuci                       | ✘ (One-sided)
alalakjdndbshdje               | ✔ (Mutual)
alan_mogs                      | ✔ (Mutual)
albertryang                    | ✘ (One-sided)
aleenafrancisco                | ✘ (One-sided)
aleenlilian                    | ✔ (Mutual)
aleksandererk                  | ✔ (Mutual)
aleksei.dillon                 | ✘ (One-sided)
alenniss                       | ✔ (Mutual)
alex.__li                      | ✔ (Mutual)
alex.g                         | ✘ (One-sided)
alex.gonzalez415               | ✔ (Mutual)
alex.toy                       | ✘ (One-sided)
alex_kurotori                  | ✘ (One-sided)
alex_tsukie                    | ✘ (One-sided)
alexandrarosetran              | ✔ (Mutual)
alexhnguyenn                   | ✘ (One-sided)
alexjkao                       | ✘ (One-sided)
alextaii                       | ✘ (One-sided)
aliceonlinee                   | ✔ (Mutual)
alisa_y_huang                  | ✔ (Mutual)
alison.shikada                 | ✘ (One-sided)
alisonnnkt                     | ✔ (Mutual)
alissalouie                    | ✔ (Mutual)
allanzzhang                    | ✔ (Mutual)
allexanderlewis                | ✔ (Mutual)
allimccale                     | ✔ (Mutual)
allison.agbayani               | ✔ (Mutual)
allynodohara                   | ✔ (Mutual)
allysonlaurenn                 | ✔ (Mutual)
allysuzuki                     | ✔ (Mutual)
alpinetang.26                  | ✔ (Mutual)
alxya.m                        | ✘ (One-sided)
alykoba                        | ✔ (Mutual)
alyshajamieson                 | ✔ (Mutual)
alyssadownss                   | ✘ (One-sided)
alyssaikuma                    | ✔ (Mutual)
alyssaliu8610                  | ✔ (Mutual)
alyssanaigan                   | ✔ (Mutual)
alyssaqonzales                 | ✘ (One-sided)
alyssaungerer                  | ✔ (Mutual)
amanda.liu                     | ✔ (Mutual)
amanda_awad146                 | ✘ (One-sided)
amanda_dung                    | ✔ (Mutual)
amandahrice                    | ✔ (Mutual)
amandamtran                    | ✘ (One-sided)
amandateano                    | ✔ (Mutual)
amandwaah                      | ✘ (One-sided)
amaznhq                        | ✘ (One-sided)
amberwxng                      | ✔ (Mutual)
amelia_hanney                  | ✔ (Mutual)
amritha_s                      | ✔ (Mutual)
amxndaxi                       | ✔ (Mutual)
amytallgirl                    | ✔ (Mutual)
amyth.hegde                    | ✔ (Mutual)
amyyy_mimi                     | ✘ (One-sided)
anaepalo                       | ✔ (Mutual)
anannya.khanna                 | ✔ (Mutual)
anders__watson                 | ✔ (Mutual)
andievalenzuela                | ✔ (Mutual)
andizzle04                     | ✔ (Mutual)
andrea.aalba                   | ✔ (Mutual)
andreakliu                     | ✘ (One-sided)
andreanguy.n                   | ✔ (Mutual)
andrefisher                    | ✘ (One-sided)
andrew.k.park                  | ✔ (Mutual)
andrew.nquyen                  | ✔ (Mutual)
andrew7shen                    | ✔ (Mutual)
andrewchenn_                   | ✘ (One-sided)
andrewnguven                   | ✘ (One-sided)
andy_tran3                     | ✔ (Mutual)
andyroo16                      | ✘ (One-sided)
angela.kou                     | ✔ (Mutual)
angela__chau                   | ✘ (One-sided)
angela_h45                     | ✔ (Mutual)
angelagrino                    | ✔ (Mutual)
angeli_dlc                     | ✔ (Mutual)
angelina.tru                   | ✘ (One-sided)
angelinalbc                    | ✔ (Mutual)
angelotrann                    | ✔ (Mutual)
aniamcn                        | ✔ (Mutual)
anishareimert                  | ✘ (One-sided)
anitab0n1ta                    | ✔ (Mutual)
anjellybean_                   | ✔ (Mutual)
ann._yao._                     | ✔ (Mutual)
anna__piskun                   | ✔ (Mutual)
annabelledov                   | ✔ (Mutual)
annabelletzou                  | ✔ (Mutual)
annagreeene                    | ✔ (Mutual)
annam.mov                      | ✔ (Mutual)
annamdtran                     | ✔ (Mutual)
annaseiki                      | ✘ (One-sided)
annesaurous                    | ✘ (One-sided)
annieisokayyyy                 | ✘ (One-sided)
annika_bhanot                  | ✘ (One-sided)
anooop.dawg                    | ✔ (Mutual)
ant_shen                       | ✔ (Mutual)
anthonynguven                  | ✔ (Mutual)
anthpetros                     | ✔ (Mutual)
anudeep_h                      | ✘ (One-sided)
anyamoturi                     | ✔ (Mutual)
aprilpicato                    | ✘ (One-sided)
arbinrye                       | ✔ (Mutual)
arcillas3                      | ✔ (Mutual)
areetawong                     | ✘ (One-sided)
arengarajan99                  | ✔ (Mutual)
ari.adnaaa                     | ✘ (One-sided)
ariawnuhh                      | ✔ (Mutual)
arob1219                       | ✔ (Mutual)
arshia_sharma                  | ✔ (Mutual)
arthur_miko                    | ✔ (Mutual)
aryan.ghanadan                 | ✔ (Mutual)
asharris16                     | ✘ (One-sided)
ashhh___bashhh                 | ✔ (Mutual)
ashleeeeyyy3                   | ✔ (Mutual)
ashleeyy.lynnn                 | ✔ (Mutual)
ashley.fong                    | ✘ (One-sided)
ashley.ohhh                    | ✘ (One-sided)
ashley.suee                    | ✔ (Mutual)
ashley_hiraki                  | ✘ (One-sided)
ashley_tangerine               | ✔ (Mutual)
ashleycwma                     | ✘ (One-sided)
ashleygao_                     | ✔ (Mutual)
ashleywyeh                     | ✔ (Mutual)
ashleyy.ln                     | ✔ (Mutual)
ashleyychang                   | ✔ (Mutual)
ashleyychang_                  | ✔ (Mutual)
ashwong8                       | ✔ (Mutual)
aspark_24                      | ✔ (Mutual)
astrid.d10                     | ✘ (One-sided)
atehjulia                      | ✘ (One-sided)
atharvam20                     | ✔ (Mutual)
athrv_khoche                   | ✔ (Mutual)
atown_llt                      | ✔ (Mutual)
atsitu                         | ✔ (Mutual)
audiebethea                    | ✔ (Mutual)
audrey.15                      | ✘ (One-sided)
audrey.fung                    | ✔ (Mutual)
audrey_mullen                  | ✘ (One-sided)
audreymariex                   | ✔ (Mutual)
audreyttran                    | ✘ (One-sided)
audreyyy_w                     | ✔ (Mutual)
audreyyylieu                   | ✔ (Mutual)
austin.chenn                   | ✔ (Mutual)
austinbroooown                 | ✘ (One-sided)
austinwoo_                     | ✔ (Mutual)
ava_enjavi                     | ✘ (One-sided)
avanishime                     | ✘ (One-sided)
avawi11iams                    | ✔ (Mutual)
averyjlee                      | ✘ (One-sided)
aviraj55                       | ✔ (Mutual)
axandr1a                       | ✔ (Mutual)
axngvyen                       | ✔ (Mutual)
ayeeelizabethh                 | ✔ (Mutual)
ayush.satyavarpu               | ✔ (Mutual)
aznboi_k9ine                   | ✘ (One-sided)
b.ry88                         | ✘ (One-sided)
b1g.n8                         | ✔ (Mutual)
b_clark13                      | ✔ (Mutual)
b_ryan.m                       | ✔ (Mutual)
baboune28                      | ✘ (One-sided)
baby_gumba                     | ✔ (Mutual)
bachhan_np                     | ✔ (Mutual)
badgal.albi                    | ✘ (One-sided)
badies.af                      | ✘ (One-sided)
ballinwithbamba                | ✔ (Mutual)
bamzalem                       | ✔ (Mutual)
bao_onguyen                    | ✔ (Mutual)
barbaraaafox                   | ✔ (Mutual)
barbaracoolidge                | ✔ (Mutual)
batenacosa                     | ✔ (Mutual)
baysleazy                      | ✔ (Mutual)
bbaemax                        | ✔ (Mutual)
bball_baker                    | ✘ (One-sided)
bbngguyyen                     | ✔ (Mutual)
bboygriff                      | ✔ (Mutual)
bbrenda.lee                    | ✔ (Mutual)
bbyxjl                         | ✘ (One-sided)
bdao_ig                        | ✔ (Mutual)
becca.berg                     | ✔ (Mutual)
becca.liu16                    | ✔ (Mutual)
bella_vado                     | ✔ (Mutual)
belllaa.espinoza               | ✘ (One-sided)
benfujii                       | ✔ (Mutual)
benhyver                       | ✔ (Mutual)
bennas.bites                   | ✔ (Mutual)
benroth8                       | ✔ (Mutual)
bensontraviswu                 | ✔ (Mutual)
bernie.burns                   | ✘ (One-sided)
beryl1106                      | ✔ (Mutual)
biancalnavarro                 | ✔ (Mutual)
bigdaddy_gannondorf            | ✘ (One-sided)
bigherofelix                   | ✘ (One-sided)
billianair206                  | ✔ (Mutual)
billyhuuu                      | ✔ (Mutual)
bismarckchiang                 | ✔ (Mutual)
bizzzy_b30                     | ✔ (Mutual)
blake_uye                      | ✔ (Mutual)
blazel.c                       | ✔ (Mutual)
bliu956                        | ✔ (Mutual)
blog                           | ✔ (Mutual)
bmadlulu                       | ✔ (Mutual)
boba.richard                   | ✔ (Mutual)
boncorpus                      | ✔ (Mutual)
boramgaudet                    | ✘ (One-sided)
botanic.bunches                | ✔ (Mutual)
brad__kong                     | ✔ (Mutual)
brady.pauken                   | ✔ (Mutual)
brandere                       | ✘ (One-sided)
brandlynlei                    | ✘ (One-sided)
brandon.chuang                 | ✘ (One-sided)
brandon.hjc                    | ✘ (One-sided)
brandon.limeffended            | ✘ (One-sided)
brandon.yay                    | ✘ (One-sided)
brandon_isa_                   | ✘ (One-sided)
brandonahmcdonald              | ✔ (Mutual)
brandonbui                     | ✘ (One-sided)
brandoncyleu                   | ✘ (One-sided)
brandonhigashi6                | ✔ (Mutual)
brandonjlei                    | ✔ (Mutual)
brandonnish21                  | ✘ (One-sided)
brandontkhong                  | ✔ (Mutual)
brandonwwong                   | ✔ (Mutual)
breannaguidotti                | ✘ (One-sided)
brendan_lopez_                 | ✔ (Mutual)
brenje17                       | ✘ (One-sided)
brennank.im                    | ✔ (Mutual)
brent_abe                      | ✔ (Mutual)
brentojang                     | ✔ (Mutual)
brenton_gaches                 | ✘ (One-sided)
brentpineda                    | ✔ (Mutual)
brettc.huang                   | ✔ (Mutual)
brian.nah                      | ✘ (One-sided)
brian.yuon                     | ✔ (Mutual)
brian_steuber                  | ✘ (One-sided)
brian_vong                     | ✔ (Mutual)
briana.meng                    | ✘ (One-sided)
brianagal                      | ✔ (Mutual)
brianna.450                    | ✔ (Mutual)
brianna.proost                 | ✔ (Mutual)
briayanez                      | ✘ (One-sided)
briii.c                        | ✘ (One-sided)
britpan                        | ✘ (One-sided)
brittanyhodges_                | ✘ (One-sided)
brittneygtran                  | ✔ (Mutual)
brooke.riggio                  | ✔ (Mutual)
brooke_doblar                  | ✔ (Mutual)
brown_rice98                   | ✔ (Mutual)
bryandomo                      | ✘ (One-sided)
bryanjtrinh                    | ✔ (Mutual)
bryankim_                      | ✔ (Mutual)
bryannayoung_                  | ✘ (One-sided)
bryantnagooyen                 | ✔ (Mutual)
bummerbee_lee                  | ✘ (One-sided)
buritney                       | ✔ (Mutual)
burmese_min                    | ✔ (Mutual)
bweitzy                        | ✔ (Mutual)
c.ipynb                        | ✔ (Mutual)
c0nni3.liang                   | ✔ (Mutual)
cademo20                       | ✘ (One-sided)
cafemaddy                      | ✘ (One-sided)
cailansplaine                  | ✔ (Mutual)
cailyn.sak                     | ✔ (Mutual)
caitlyn_lowe9                  | ✔ (Mutual)
caitlynsaw                     | ✔ (Mutual)
caleb_y00n                     | ✔ (Mutual)
calebmlee                      | ✘ (One-sided)
calebsiow                      | ✔ (Mutual)
calistamalepeai                | ✘ (One-sided)
callahan.domine                | ✔ (Mutual)
callme.kimmm                   | ✘ (One-sided)
caluublee                      | ✔ (Mutual)
cam_wang_                      | ✔ (Mutual)
cameron.chen                   | ✘ (One-sided)
cameronalexisjames             | ✔ (Mutual)
camillebabida                  | ✔ (Mutual)
camilleee22                    | ✔ (Mutual)
camyaiboshi                    | ✔ (Mutual)
care_oh_linee                  | ✘ (One-sided)
carissa_fernandez              | ✔ (Mutual)
carla_pelino                   | ✔ (Mutual)
carlo.jimenezz                 | ✔ (Mutual)
carolyn.skotz                  | ✘ (One-sided)
carolynphamm                   | ✘ (One-sided)
carrie.sue                     | ✔ (Mutual)
carrieebustos                  | ✔ (Mutual)
cartervuuu                     | ✔ (Mutual)
caruhwin                       | ✔ (Mutual)
cassbang                       | ✔ (Mutual)
cassidykau                     | ✘ (One-sided)
cassidyyy30                    | ✔ (Mutual)
cassie._michelle_              | ✘ (One-sided)
cassie_caron                   | ✔ (Mutual)
cassieboyle_18                 | ✘ (One-sided)
catherineelo                   | ✔ (Mutual)
catherinetnguyen               | ✔ (Mutual)
cdagdaddy                      | ✘ (One-sided)
cdotmeng                       | ✔ (Mutual)
cece_chen00                    | ✔ (Mutual)
celeryslime222                 | ✔ (Mutual)
celynasu                       | ✔ (Mutual)
cguapp                         | ✘ (One-sided)
chad_wongg                     | ✘ (One-sided)
chaeeunkim_                    | ✔ (Mutual)
chandler_bast                  | ✔ (Mutual)
charlie_egg                    | ✘ (One-sided)
charlieminhnguyen              | ✔ (Mutual)
charlize.mila                  | ✔ (Mutual)
charlot.tu                     | ✘ (One-sided)
cheezeyyeezey                  | ✔ (Mutual)
chelcc_ec                      | ✔ (Mutual)
cherizhou                      | ✘ (One-sided)
chescalaz                      | ✘ (One-sided)
chiloeytran                    | ✘ (One-sided)
chiyeonn                       | ✘ (One-sided)
chloe.fehr                     | ✔ (Mutual)
chloebui                       | ✘ (One-sided)
chloechuong                    | ✘ (One-sided)
chloedang13                    | ✔ (Mutual)
chloefunabikigong              | ✔ (Mutual)
chloekwok.png                  | ✔ (Mutual)
choi.brain                     | ✘ (One-sided)
chowmein_noodles               | ✘ (One-sided)
chris.woohoo                   | ✔ (Mutual)
chris3kim                      | ✔ (Mutual)
chris__than                    | ✔ (Mutual)
chris_aceves                   | ✔ (Mutual)
chris_whu                      | ✔ (Mutual)
chrischosen                    | ✘ (One-sided)
chrisellebadua                 | ✔ (Mutual)
chrisetyeh                     | ✘ (One-sided)
chrispycremme                  | ✔ (Mutual)
chrispyshot                    | ✘ (One-sided)
chrisrubottom2                 | ✔ (Mutual)
christianjones3                | ✔ (Mutual)
christianloanzon               | ✔ (Mutual)
christina.leilani              | ✘ (One-sided)
christina_diazz                | ✔ (Mutual)
christinaa.do                  | ✘ (One-sided)
christinafvo                   | ✔ (Mutual)
christinatluu                  | ✔ (Mutual)
christine.burchinal            | ✔ (Mutual)
christine_bonoan               | ✔ (Mutual)
christineekkim                 | ✘ (One-sided)
christinephung.n               | ✔ (Mutual)
christinne.nguyen              | ✔ (Mutual)
christopher.asfour             | ✔ (Mutual)
christopherlala                | ✔ (Mutual)
chrizzztopher                  | ✔ (Mutual)
chu.chews.food                 | ✔ (Mutual)
ciao.le_                       | ✔ (Mutual)
cindeh.q                       | ✘ (One-sided)
cj_44_                         | ✔ (Mutual)
cjdel30n                       | ✘ (One-sided)
ck_in_da_bay                   | ✔ (Mutual)
claire_edson                   | ✔ (Mutual)
claireyuki                     | ✘ (One-sided)
claraaho                       | ✘ (One-sided)
clarissa.garciaa               | ✔ (Mutual)
clarizegb                      | ✔ (Mutual)
clarkwayyyy                    | ✔ (Mutual)
clem_thomas                    | ✘ (One-sided)
clint_nguyen                   | ✘ (One-sided)
cloudwatchingclubuci           | ✔ (Mutual)
cloutevader                    | ✔ (Mutual)
cluelew                        | ✔ (Mutual)
cmaryd                         | ✘ (One-sided)
cmc_moris                      | ✔ (Mutual)
cndythng                       | ✔ (Mutual)
cobbbbeeee                     | ✔ (Mutual)
coliinz                        | ✔ (Mutual)
conjello                       | ✔ (Mutual)
connor_henriques               | ✔ (Mutual)
connor_okazaki5                | ✔ (Mutual)
connorchin_                    | ✘ (One-sided)
cooodes                        | ✔ (Mutual)
courtney.van                   | ✘ (One-sided)
cozynfitted                    | ✘ (One-sided)
cqmvs                          | ✔ (Mutual)
crlnsue                        | ✘ (One-sided)
crossingrain                   | ✘ (One-sided)
cth.des                        | ✔ (Mutual)
ctogami123                     | ✔ (Mutual)
culoee                         | ✔ (Mutual)
curtisyangg                    | ✘ (One-sided)
cvssandra                      | ✔ (Mutual)
cynshaa                        | ✔ (Mutual)
cynth.liu                      | ✔ (Mutual)
cynthiiadiaz                   | ✔ (Mutual)
cynthluo                       | ✔ (Mutual)
d_tahara10                     | ✔ (Mutual)
da_fokk                        | ✔ (Mutual)
daaaniel_v                     | ✘ (One-sided)
dabbincheng                    | ✔ (Mutual)
dacoreytong                    | ✔ (Mutual)
daigoooo97                     | ✔ (Mutual)
daiki.n_22                     | ✔ (Mutual)
daisy.lau                      | ✘ (One-sided)
daizeyvr                       | ✔ (Mutual)
danecantquad                   | ✔ (Mutual)
dani.muscha                    | ✔ (Mutual)
danialshelburne                | ✔ (Mutual)
danicaariel                    | ✔ (Mutual)
danicelong                     | ✘ (One-sided)
danielle.leduc                 | ✔ (Mutual)
daniellemichaelj               | ✘ (One-sided)
danifasannn                    | ✔ (Mutual)
daniiellevalencia              | ✔ (Mutual)
danika.jia                     | ✔ (Mutual)
danikagerodias                 | ✘ (One-sided)
danimatlock                    | ✔ (Mutual)
dannnnykim                     | ✘ (One-sided)
danny.1248                     | ✔ (Mutual)
danny_handford                 | ✘ (One-sided)
dante_panella357               | ✘ (One-sided)
daphne.27                      | ✔ (Mutual)
daphnexxchen                   | ✘ (One-sided)
dar_shkel                      | ✘ (One-sided)
dariamaliesky                  | ✔ (Mutual)
darian.h                       | ✘ (One-sided)
dariusandaya                   | ✘ (One-sided)
darren_tran                    | ✔ (Mutual)
darrinchuang                   | ✔ (Mutual)
daryoushvetry                  | ✔ (Mutual)
datnicdo                       | ✘ (One-sided)
david.h.kim                    | ✔ (Mutual)
david5010                      | ✔ (Mutual)
davinlusung                    | ✔ (Mutual)
davinwithdawok                 | ✔ (Mutual)
davyz_99                       | ✘ (One-sided)
dayshimada3                    | ✘ (One-sided)
dchungs_eats                   | ✔ (Mutual)
ddanale                        | ✘ (One-sided)
ddeaanna                       | ✔ (Mutual)
deadythepanda                  | ✔ (Mutual)
debbie.ly                      | ✔ (Mutual)
deece10                        | ✘ (One-sided)
deleted_user70200              | ✔ (Mutual)
deonshania                     | ✔ (Mutual)
derekchai_                     | ✘ (One-sided)
deric_chang_                   | ✘ (One-sided)
derricksiscar                  | ✘ (One-sided)
devi_liciousss                 | ✔ (Mutual)
devin_kal                      | ✘ (One-sided)
devindope                      | ✘ (One-sided)
devonnhuang                    | ✔ (Mutual)
devonparagas                   | ✔ (Mutual)
dhani2020                      | ✔ (Mutual)
dianattran                     | ✔ (Mutual)
diane_z55                      | ✔ (Mutual)
diichung                       | ✔ (Mutual)
din9uyen_                      | ✔ (Mutual)
dinh_o_saur                    | ✔ (Mutual)
dinhjohnny                     | ✘ (One-sided)
districtteasf                  | ✘ (One-sided)
divyachunduru                  | ✔ (Mutual)
dj__rocha                      | ✘ (One-sided)
djtr3ble                       | ✔ (Mutual)
dkwok101                       | ✘ (One-sided)
docs                           | ✔ (Mutual)
domgpagano                     | ✔ (Mutual)
dominic.panella                | ✔ (Mutual)
doobydobap                     | ✘ (One-sided)
doorwrist                      | ✔ (Mutual)
doreenyuu                      | ✘ (One-sided)
doroodong                      | ✘ (One-sided)
dr_benjibun                    | ✔ (Mutual)
drinktastea                    | ✘ (One-sided)
drtheman                       | ✔ (Mutual)
dthee.n                        | ✔ (Mutual)
duckduckgoob                   | ✔ (Mutual)
durlina_n                      | ✔ (Mutual)
dxnnyn                         | ✔ (Mutual)
dylancha_                      | ✘ (One-sided)
dylanjee.lk                    | ✔ (Mutual)
dylanjohnston_                 | ✔ (Mutual)
dylanstaud                     | ✔ (Mutual)
e_zhang08                      | ✘ (One-sided)
eainthzaw                      | ✘ (One-sided)
eartho7                        | ✔ (Mutual)
echuang99                      | ✘ (One-sided)
eddiepark__                    | ✘ (One-sided)
eden_santos                    | ✔ (Mutual)
edithh.marlene                 | ✔ (Mutual)
edward_li_                     | ✔ (Mutual)
edwardlai_                     | ✔ (Mutual)
eemmajanee                     | ✔ (Mutual)
eileen4evr                     | ✔ (Mutual)
ejflores9                      | ✔ (Mutual)
ek_nakajima                    | ✔ (Mutual)
ekwan24                        | ✔ (Mutual)
el.christian.polo              | ✔ (Mutual)
eleanorrxiao                   | ✘ (One-sided)
eliana_kim                     | ✘ (One-sided)
eliiprincesss                  | ✔ (Mutual)
eliselee_                      | ✔ (Mutual)
elizabeth99lee                 | ✔ (Mutual)
elizabethjtan                  | ✔ (Mutual)
